seed,framework,test_auc,epochs,final_val_loss,train_seconds
1,TensorFlow,0.7552380952380952,50,0.5664834380149841,6.712031330000002
1,PyTorch,0.7914285714285715,36,0.6222260594367981,0.44466366599999674
2,TensorFlow,0.7686904761904761,40,0.5749465823173523,6.424676105999993
2,PyTorch,0.7726190476190476,36,0.6287822723388672,0.42741792600003237
3,TensorFlow,0.4905952380952381,9,0.6597116589546204,2.6334875900000156
3,PyTorch,0.7848809523809523,35,0.6213927865028381,0.4195720380000125
4,TensorFlow,0.7445238095238096,50,0.5707124471664429,7.721183945000007
4,PyTorch,0.7960714285714284,40,0.6216099858283997,0.47343760100000054
5,TensorFlow,0.7889285714285714,31,0.5682188272476196,5.084762944000033
5,PyTorch,0.7847619047619048,37,0.61733078956604,0.5365321200000039
6,TensorFlow,0.7715476190476191,42,0.5661069750785828,5.634433027
6,PyTorch,0.8052380952380953,50,0.5917691588401794,0.611144506999949
7,TensorFlow,0.7541666666666667,37,0.5719807744026184,4.900936633999947
7,PyTorch,0.7760714285714286,40,0.6301963925361633,0.510890331999974
8,TensorFlow,0.755595238095238,31,0.5877310037612915,4.447976019999999
8,PyTorch,0.7626190476190476,34,0.6156409978866577,0.4091545040000142
9,TensorFlow,0.7629761904761905,39,0.5837984085083008,5.161638537999977
9,PyTorch,0.7982142857142858,38,0.6116417646408081,0.465938422000022
10,TensorFlow,0.7891666666666667,50,0.5508164167404175,6.238470860000007
10,PyTorch,0.7801190476190476,31,0.6240502595901489,0.36652786499996637
