feature,Logistic Regression__SHAP,XGBoost__SHAP,TensorFlow NN__SHAP,PyTorch NN__SHAP,PyTorch NN__IG,TensorFlow NN__IG,Logistic Regression__LIME,XGBoost__LIME,TensorFlow NN__LIME,PyTorch NN__LIME
Age,0.052090979048178124,0.17769718,0.027728104990164867,0.030829531876299936,0.029663084,0.03438513,0.00981979356204835,0.005396853937959096,0.03098286487766044,0.03396936900903455
Credit amount,0.2815922279768425,0.475171,0.030908633103608738,0.030037812414757545,0.028428655,0.03378866,0.05813476329807059,0.04249593559540073,0.02478311129334774,0.034454845591833004
Credit history,0.6607782124339805,0.44594982,0.06381703965043925,0.07135108108168979,0.062939145,0.05799935,0.13450894087147008,0.030577553448940763,0.07593015746246007,0.08985231511859088
Duration,0.2604871337235016,0.50764096,0.05086970768752508,0.06996400597302403,0.064524814,0.059544936,0.05398490278327677,0.144342371343315,0.0579759708816636,0.08693137939314242
Housing,0.2954492476070293,0.19501956,0.0118679217753197,0.01454449273716962,0.01368684,0.026532168,0.08110415994123671,0.027259151180295618,0.014186121933962898,0.022790809530762547
Installment rate in percentage of disposable income,0.30566244201312853,0.17267835,0.03638728433441429,0.03386884709805158,0.03982071,0.047496237,0.05619966025041859,0.03581754116305842,0.04047833878603847,0.038300756367518625
Job,0.22452710342387847,0.08340786,0.02156372664988794,0.018542077007305792,0.013922948,0.029966807,0.04717300219049918,0.01431567253031386,0.021529453261859625,0.024447744665116004
Number of existing credits at this bank,0.10682414826860061,0.07368282,0.014502767799313006,0.005472888462577474,0.004783109,0.023916703,0.019572387391309745,0.009066590585772565,0.012557569618765538,0.006972566391873677
Number of people being liable to provide maintenance for,0.039579211524489184,0.029453008,0.010029823917884642,0.006210399700897562,0.011865407,0.01887792,0.009153253674051986,0.005044316759830689,0.011244323160351928,0.014417783576938879
Other debtors / guarantors,0.07956194396192622,0.08569006,0.01017748962108385,0.012479039186259613,0.005175034,0.008660787,0.027937242727400564,0.009382819162436768,0.013043299885235705,0.024655146894723652
Other installment plans,0.30764723183824033,0.25649318,0.023043174238930535,0.023689715386395683,0.06250905,0.058668002,0.07127072851403451,0.031033445400014122,0.02775735451541817,0.03110544268283284
Present employment since,0.516901717812126,0.41794038,0.0463821743340668,0.07230186019070738,0.042427797,0.041899778,0.10545153940147543,0.022368846109862797,0.05089877947213199,0.09599057113084095
Present residence since,0.026153154756541865,0.047631785,0.011896461585238285,0.011594869940735364,0.0130569525,0.022407897,0.0051928557422952345,0.009661404209949674,0.0021651754289281995,0.011488960440955527
Property,0.3094611909327494,0.17770424,0.032466249251237964,0.03720625529051716,0.022429146,0.0313139,0.07527145026141742,0.01516423844605417,0.033486121795019724,0.04945492234777535
Purpose,0.792585599348755,0.5136754,0.04194977203145754,0.07701549941263854,0.05214355,0.03671663,0.20866878788495902,0.047690108480027346,0.05816269143483747,0.10990181085978526
SEX,0.14970165899712098,0.11882711,0.025124510822352022,0.035995452843816014,0.026459884,0.0204337,0.029195922729450322,0.006374071727655591,0.025733053962912204,0.03743236657697872
Savings account/bonds,0.43398516386231933,0.3589596,0.03973193460466518,0.055518380992492664,0.03283704,0.024251156,0.13032257663150604,0.02302297537331435,0.065975863115937,0.08881742950542851
Status of existing checking account,0.9535060332298093,0.99482507,0.07203191916399192,0.11836532193468291,0.093087636,0.06727191,0.1788595238626729,0.0502857295578224,0.0752505072107612,0.11908539565332432
Telephone,0.15765886018103384,0.106733434,0.010950949694424707,0.01764295626550847,0.013813249,0.012566625,0.028519429207370894,0.007069462763830182,0.009606128778451775,0.017852765516203864
foreign worker,0.06612638390993798,0.03420138,0.0027404923730136943,0.00529811072598677,0.002842209,0.0016451137,0.0324840647090041,0.004896487503800085,0.00695974279617246,0.018816909745252946
