feature,Logistic Regression__SHAP,XGBoost__SHAP,TensorFlow NN__SHAP,PyTorch NN__SHAP,PyTorch NN__IG,TensorFlow NN__IG,Logistic Regression__LIME,XGBoost__LIME,TensorFlow NN__LIME,PyTorch NN__LIME
AGE,0.051939817879549904,0.04090613,0.007883080699505626,0.007915433281592306,0.007780871,0.008141566,0.013710652650413534,0.006633524544914706,0.008759590558497815,0.00671203166151239
BILL_AMT1,0.22102859125945534,0.1632655,0.01667893346245455,0.018452932000938182,0.022061575,0.01769134,0.06367556825817013,0.03291100870497942,0.01653707042752354,0.02906495446681373
BILL_AMT2,0.07269005812940191,0.045456726,0.02565623919025529,0.02500645133523809,0.020319313,0.020370457,0.020956504737890753,0.0059690818051788925,0.013040708422590948,0.003775093820435159
BILL_AMT3,0.013717917988650071,0.07448559,0.013159911164540973,0.014176984235574957,0.014339786,0.0128593445,0.004135053216195124,0.02207750176131408,0.004216066036182944,0.0035411920271262217
BILL_AMT4,0.037517998179784205,0.045787074,0.00948192107657087,0.005302813695181066,0.0066385944,0.01041831,0.011178405166492,0.017423316238981464,0.014629224939993628,0.004955407588516197
BILL_AMT5,0.04574632385250028,0.046499945,0.018623435205852728,0.007055422970053916,0.008658781,0.018128902,0.0137295005635817,0.02670485339920453,0.01811734538013079,0.00958339178060283
BILL_AMT6,0.039412207391026896,0.04673962,0.011472204035830146,0.008552264541260972,0.009501613,0.008938218,0.011868613541345932,0.02543644061591132,0.0035104755387983647,0.0033014933055262635
EDUCATION,0.11461115132814041,0.048046928,0.01585313320283501,0.01809732886878035,0.013630831,0.012540502,0.052041388728677564,0.00944099643698506,0.034279362632121335,0.04294620527609791
LIMIT_BAL,0.1104389884674248,0.22602993,0.056700148835921935,0.05820223430739492,0.05390411,0.05065914,0.028283088367216547,0.04845027696553359,0.05194600655180794,0.04973363852637986
MARRIAGE,0.09070878053108501,0.057129513,0.011537348726536494,0.014219239161950763,0.01167885,0.00938374,0.02168174051043743,0.011847511223073806,0.017680355204014946,0.021549066808172063
PAY_1,0.4023110382589295,0.46460783,0.08774748077639379,0.09450618083779441,0.07817734,0.08992643,0.12804607684038025,0.029630759703222084,0.090612088318876,0.10217476592443946
PAY_2,0.06707651906606807,0.15143442,0.020153932815534063,0.01871888911291447,0.023274288,0.01989218,0.021423304420365087,0.00800030541197465,0.01880105056903846,0.014922550553249625
PAY_3,0.061427995114459656,0.07707528,0.032076920131908083,0.034139104720562564,0.030386377,0.032962065,0.019477937906257396,0.0137713612491488,0.032072280569322376,0.03450854940753916
PAY_4,0.03741968190542491,0.049876973,0.01922134656176513,0.02119597051215414,0.022405772,0.019588415,0.01171133302309534,0.010552900836467103,0.012936863571922242,0.02163291744372552
PAY_5,0.00462372177752673,0.044558894,0.014499084634349856,0.014580885167590677,0.017798716,0.019765371,0.0014361162794802635,0.003808492747888931,0.0116610498069703,0.013769287951523379
PAY_6,0.005373390351997809,0.057126276,0.012455895460208921,0.01376747296564631,0.016629646,0.015293695,0.001678227313888349,0.0047480693539465975,0.003725438925134447,0.005950818027948892
PAY_AMT1,0.06389311601605271,0.10044589,0.018781472634436795,0.019864418220028157,0.021594748,0.018404648,0.040470258531884816,0.03653462079476984,0.06445262829436132,0.07169360968910043
PAY_AMT2,0.04479911581793807,0.1320851,0.013958378806963084,0.01510816846079363,0.014822142,0.013724654,0.03403411723013239,0.041417346445769665,0.05523099672028305,0.060798547646875555
PAY_AMT3,0.00965812980675043,0.110660106,0.011141054506388172,0.010256112848204534,0.01240427,0.01265537,0.006770993991885965,0.02819153403352686,0.05359891624099109,0.0504669661437367
PAY_AMT4,0.01500151481580265,0.06293867,0.006519746146579564,0.0052211453660467215,0.00763901,0.007439883,0.00789787889721018,0.004946078001918632,0.02933535297502129,0.021165375098941664
PAY_AMT5,0.0032524970160373694,0.054993246,0.008604515421276857,0.008499338630498003,0.010100981,0.009099502,0.0021527789163500264,0.015292147748584964,0.03304447690699313,0.046689675868411516
PAY_AMT6,0.010525976156153671,0.060249493,0.008476121133346169,0.007364691256895174,0.0075372597,0.009616729,0.005472590974746825,0.016178830657394085,0.049295991572064074,0.027689870396814604
SEX,0.05991157703624875,0.050437536,0.01390593361807987,0.010699810005674604,0.010754759,0.01618478,0.013261763969118405,0.006473610172105416,0.0063934090512023966,0.004473886977343396
